search,replace,class
bkb,Black King Bar (BKB),Noun
Blink,Blink Dagger,Noun
Shard,Aghanim's Shard,Noun
Hex,Scythe of Vyse (Hex),Noun
Sheep,Scythe of Vyse (Hex),Noun
Manta,Manta Style,Noun
Meka,Mekansm,Noun
Pipe,Pipe of Insight,Noun
Force,Force Staff,Noun
Glimmer,Glimmer Cape,Noun
Orchid,Orchid Malevolence,Noun
Heart,Heart of Tarrasque,Noun
Travels,Boots of Travel,Noun
Phase,Phase Boots,Noun
Treads,Power Treads,Noun
Arcanes,Arcane Boots,Noun
Tranquils,Tranquil Boots,Noun
Wand,Magic Wand,Noun
Stick,Magic Stick,Noun
Dust,Dust of Appearance,Noun
Sentry,Sentry Ward,Noun
Obs,Observer Ward,Noun
Smoke,Smoke of Deceit,Noun
TP,Town Portal Scroll (TP),Noun
tp,Town Portal Scroll (TP),Noun
CS,"creep score, last hitting (CS)",Noun
deny,denying creeps to starve the enemy of experience,Verb
pull,pulling the lane creeps into a neutral camp,Verb
roam,roaming between lanes to find kills,Verb
initiate,initiating a team fight,Verb
kite,"kiting, attacking while retreating",Verb
farm,farming gold and experience,Verb
push,pushing a lane toward enemy towers,Verb
dive,tower diving,Verb
turbo,Turbo game mode,Noun
meta,the current metagame,Noun
safelane,safe lane,Noun
offlane,off lane,Noun
mid,mid lane,Noun
AM,Anti-Mage,Noun
PA,Phantom Assassin,Noun
PL,Phantom Lancer,Noun
SF,Shadow Fiend,Noun
TA,Templar Assassin,Noun
CM,Crystal Maiden,Noun
WD,Witch Doctor,Noun
SK,Sand King,Noun
WK,Wraith King,Noun
DK,Dragon Knight,Noun
LC,Legion Commander,Noun
CK,Chaos Knight,Noun
AA,Ancient Apparition,Noun
NP,Nature's Prophet,Noun
OD,Outworld Devourer,Noun
TB,Terrorblade,Noun
BH,Bounty Hunter,Noun
BS,Bloodseeker,Noun
ES,Earthshaker,Noun
SD,Shadow Demon,Noun
SS,Shadow Shaman,Noun
MK,Monkey King,Noun
Void,Faceless Void,Noun
Furion,Nature's Prophet,Noun
Necro,Necrophos,Noun
Magina,Anti-Mage,Noun
Yurnero,Juggernaut,Noun
Jugg,Juggernaut,Noun
